Year,Continent,Number
2012,Africa,573184
2013,Africa,645919
2014,Africa,757181
2015,Africa,792026
2016,Africa,816541
2017,Africa,809114
2018,Africa,838490
2019,Africa,815177
2020,Africa,341446
2021,Africa,206493
2012,Asia,11062760
2013,Asia,12230911
2014,Asia,13307053
2015,Asia,14025173
2016,Asia,14751353
2017,Asia,15154164
2018,Asia,15279660
2019,Asia,15100864
2020,Asia,6341545
2021,Asia,1763975
2012,Europe,15710015
2013,Europe,16167460
2014,Europe,17376449
2015,Europe,17340542
2016,Europe,17742391
2017,Europe,17889171
2018,Europe,18297426
2019,Europe,18517513
2020,Europe,7595214
2021,Europe,1311941
2012,North America,19996738
2013,North America,24561055
2014,North America,35589531
2015,North America,36312759
2016,North America,35693733
2017,North America,35375881
2018,North America,37987067
2019,North America,38575567
2020,North America,19278195
2021,North America,7787320
2012,Oceania,1618337
2013,Oceania,1770569
2014,Oceania,1822066
2015,Oceania,1859507
2016,Oceania,1906888
2017,Oceania,1970630
2018,Oceania,1962796
2019,Oceania,1917903
2020,Oceania,754194
2021,Oceania,62105
2012,South America,4651162
2013,South America,5511558
2014,South America,6052610
2015,South America,6256760
2016,South America,6039711
2017,South America,6349041
2018,South America,6828559
2019,South America,6550198
2020,South America,2822773
2021,South America,2462888